entity	claims
Eagle_Scout_(Boy_Scouts_of_America)	
Islamic_State_of_Iraq_and_the_Levant	
HIV	HIV/AIDS||human immunodeficiency virus infectious disease||Larousse Encyclopedia online||HIV type 1||HIV type 2||CD4 molecule||organisms known by a particular common name||Wikipedia:Vital articles/Level/4
Conway,_Arkansas	United States of America||city in the United States||county seat||Category:Conway, Arkansas||Faulkner County||Category:People from Conway, Arkansas||Faulkner County||Conway County||Little Rock–North Little Rock–Conway metropolitan area
Wright	family name||list of people with the family name Wright||English||Wright||Latin script||von Wright
Brit_milah	occurrence||religious male circumcision||religious ceremony||naming ceremony||Category:Brit milah||Ottův slovník naučný||Judaism||Mohel
This_Week_(2003_TV_programme)	television series||news program||Michael Portillo||Diane Abbott||BBC One||United Kingdom
Sport_utility_vehicle	
Wembley_Stadium	London Borough of Brent||Wembley||Foster and Partners||Populous||Wembley National Stadium Ltd||Mott MacDonald||Sinclair Knight Merz||Aurecon||Cleveland Bridge & Engineering Company||United Kingdom||Multiplex||England national association football team||Tottenham Hotspur F.C.||multi-purpose stadium||association football||Wembley Stadium||Desso GrassMaster||Middlesex||Multiplex||Wembley Stadium||Wembley Arena||Wembley Stadium railway station||UEFA stadium category 4||London||Foster and Partners||association football venue||UEFA Euro 2020 Final||Wembley Stadium||Category:Interiors of Wembley Stadium
John_R._Bolton	
Greenwich_Village	neighborhood in Manhattan||NRHP district||gay village||Manhattan||Beat Generation||United States of America||Category:Greenwich Village||National Register of Historic Places listed place||Category:People from Greenwich Village||Category:Births in Greenwich Village
Rick_Hofstra	Kingdom of the Netherlands||human||male||Rick||darts player||Sneek||darts
Mike_Rogers_(Alabama_politician)	male||United States of America||politician||lawyer||United States representative||member of the Alabama House of Representatives||county commissioner||United States representative||United States representative||United States representative||United States representative||United States representative||United States representative||United States representative||United States representative||United States representative||United States representative||Republican Party||human||Hammond||Michael||Dennis||Rogers||Washington, D.C.||Montgomery||Jacksonville State University||Birmingham School of Law||Jacksonville State University||English||Michael Rogers||Mike Rogers||Mike Rogers||United States of America
No_Child_Left_Behind_Act	Act of Congress in the United States||107th United States Congress||United States of America||United States of America||George W. Bush||Boy Scouts of America Equal Access Act||Dropout Prevention Act
Brexit	United Kingdom||Category:Brexit||withdrawal from the European Union||euroscepticism in the United Kingdom||United Kingdom membership of the European Union||2016 United Kingdom European Union membership referendum||United Kingdom invocation of Article 50||Article 50 of the Treaty on European Union||United Kingdom||European Union||United Kingdom invocation of Article 50
Chris_Lawrence_(rugby_league)	Australia||human||male||rugby league player||Chris||rugby league||Wests Tigers||Australia national rugby league team||Sydney||Lawrence||English||Australia
Oil_Pollution_Act_of_1990	Act of Congress in the United States||United States of America||George H. W. Bush||101st United States Congress||United States of America
Marjah	Afghanistan||Nad Ali District||human settlement
Sanaʽa	
Miguel_Monteiro	male||S.L. Benfica||C.F. Estrela da Amadora||Valencia CF||Portugal national under-21 football team||Portugal national association football team||association football player||human||Lisbon||Portugal||Miguel||association football||2010 FIFA World Cup||2006 FIFA World Cup||UEFA Euro 2004||UEFA Euro 2008||defender||Officer of the Order of Prince Henry||Monteiro||Portuguese||Portuguese||Portugal
University_of_Arkansas_School_of_Law	law school||United States of America||University of Arkansas||Category:University of Arkansas School of Law alumni||Category:University of Arkansas School of Law faculty
Karl_Eikenberry	male||United States of America||United States Military Academy||Harvard University||Goldsboro High School||human||Bronze Star Medal||Legionnaire of Legion of Merit||Harvard Centennial Medal||Fellow of the American Academy of Arts and Sciences||diplomat||Karl||American Academy of Arts and Sciences||United States Army||ambassador||United States Ambassador to Afghanistan||Eikenberry||Morgan Hill||general||Hammond||United States of America
Rick_Perry	male||United States of America||United States Air Force||military officer||politician||farmer||international forum participant||Republican Party||Democratic Party||Texas A&M University||human||Governor of Texas||Lieutenant Governor of Texas||member of the Texas House of Representatives||United States Secretary of Energy||Category:Rick Perry||Haskell||Lentapedia||James Richard||Rick||Perry||English||English||Bachelor of Science||captain||captain||Texas||right-handedness||Governorship of Rick Perry||Rick Perry presidential campaign, 2016||Rick Perry presidential campaign, 2012||Joseph Ray Perry||Anita Thigpen Perry||Washington, D.C.||Austin||Christianity||Evangelicalism||agriculture||Dr. Nathan Davis Award for Governors or Statewide Elected Officials||Distinguished Eagle Scout Award||National Defense Service Medal||2012 Republican Party presidential primaries||2010 Texas gubernatorial election||2006 Texas gubernatorial election||World Economic Forum Annual Meeting 2014||World Economic Forum Annual Meeting 2018
Tony_Kushner	United States of America||Manhattan||human||Pulitzer Prize for Drama||Lambda Literary Award||Primetime Emmy Award||National Medal of Arts||Tony Award for Best Play||Tony Award for Best Play||Hull-Warriner Award||PEN/Laura Pels International Foundation for Theater Award||Tony||Anthony||Robert||playwright||screenwriter||writer||music teacher||author||Columbia University||New York University Tisch School of the Arts||American Academy of Arts and Letters||American Academy of Arts and Sciences||PEN America||Academy Award for Best Writing, Adapted Screenplay||Academy Award for Best Writing, Adapted Screenplay||Mark Harris||Juilliard School||Kushner||English||male||Obalky knih.cz||SAPA Foundation, Swiss Archive of the Performing Arts
Bolton	Paderborn||Le Mans||United Kingdom||Bolton||Category:Bolton||town||big city||unparished area||market town||Category:Births in Bolton||Category:Deaths in Bolton||Category:People from Bolton||Manchester||UTC±00:00||Bolton||Brockhaus and Efron Encyclopedic Dictionary||The Nuttall Encyclopædia||Lancashire||Bolton
Hamptons_(magazine)	magazine||Greenspun Media Group||United States of America
Secretary_of_state	senior government officials||organ||public office||Category:Secretaries of state||position||occupation||Armenian Soviet Encyclopedia||government secretariat
Ricin	chemical compound||toxalbumin||combustible powder||protein||protein synthesis inhibitors||lectin||type of chemical entity||Category:Ricin||carbon||ricin exposure||allergy||white||castor bean||chemical warfare agent||NFPA 704: Standard System for the Identification of the Hazards of Materials for Emergency Response||Ricinus communis||Ricinus communis||Risen||Meyers Konversations-Lexikon, 4th edition (1885–1890)
BuzzFeed	Jonah Peretti||John Seward Johnson III||website||business||media company||New York City||New York||United States of America||Jonah Peretti||English||media industry||media & entertainment industry||Category:BuzzFeed||online advertising||BuzzFeed Japan||BuzzFeed Australia||BuzzFeed UK||BuzzFeed India||BuzzFeed Brasil||BuzzFeed Mexico||BuzzFeed Germany||public company||centre-left||feminism||anti-racism
Sandra_Smith_(reporter)	human||female||journalist||athletics competitor||television presenter||Sandra||Smith||Chicago||Illinois State University||Louisiana State University||Wheaton Warrenville South High School||United States of America||athletics
Rosa_Parks	United States of America||human||Detroit||Tuskegee||National Women's Hall of Fame||Michigan Women's Hall of Fame||Alabama Women's Hall of Fame||Candace Award||Congressional Gold Medal||Presidential Medal of Freedom||Spingarn Medal||Golden Plate Award||International Freedom Conductor Award||Women's Caucus for Art Lifetime Achievement Award||NAACP Image Award for Outstanding Supporting Actress in a Drama Series||Louise||Rosa||autobiographer||human rights defender||civil rights advocate||public figure||political activist||African Americans||civil disobedience||Alpha Kappa Alpha||Alabama State University||United Methodist Church||McCauley||Parks||English||female||natural causes||dementia||Detroit||WikiProject African diaspora||Wikipedia:Vital articles/Level/4||Notable Black American Women||Black Women Oral History Project||Raymond Parks||Woodlawn Cemetery||civil rights movements||civil and political rights||racial segregation||activism
Fort_Dix	United States of America||John Adams Dix||New Hanover Township||census-designated place in the United States||Category:People from Fort Dix||Eastern Time Zone||Joint Base McGuire–Dix–Lakehurst||FortWiki
The_Americans	television series||United States of America||Washington, D.C.||Falls Church||Category:The Americans (2013 TV series)||English||Russian||16:9||FX||Keri Russell||Matthew Rhys||Maximiliano Hernández||Holly Taylor||Noah Emmerich||Annet Mahendru||Susan Misner||Alison Wright||Keidrich Sellati||Margo Martindale||Frank Langella||Derek Luke||Lev Gorn||Costa Ronin||Richard Thomas||Dylan Baker||Brandon J. Dirden||Daniel Flaherty||Peter Von Berg||Wrenn Schmidt||Lee Tergesen||Michael Aronov||Kelly AuCoin||Vera Cherny||Peter Mark Kendall||Julia Garner||Karen Pittman||Laurie Holden||Scott Cohen||Miriam Shor||drama television series||thriller television series||espionage television series||Joe Weisberg||Cold War||KGB||Amblin Entertainment||20th Television||Netflix||Disney+||Nathan Barr||The Americans, season 1||The Americans, season 2||The Americans, season 3||The Americans, season 4||The Americans, season 5||The Americans, season 6||list of The Americans episodes||Elizabeth Jennings||Philip Jennings||Stan Beeman||list of The Americans characters||Golden Globe Award for Best Television Series – Drama||video on demand
Isle_of_Lewis	United Kingdom||peninsula||Outer Hebrides||Category:Isle of Lewis||Lewis and Harris||Ross-shire
Associated_Press	Category:Associated Press||New York City||news agency||photo agency||nonprofit organization||news media||media industry||United States of America||Armenian Soviet Encyclopedia||Associated Press Television News||Associated Press-NORC Center for Public Affairs Research||New York City||Worth Bingham Prize||Worth Bingham Prize||Category:Associated Press photographers||cooperative||Invision Agency||NewsRight||AP Archive||Museum of Modern Art||Photography Collection of the New York Public Library||Resistance Museum Friesland||San Francisco Museum of Modern Art||Freedom Museum||Royal Collections of the Netherlands||news||Inter American Press Association||Associated Press article||Associated Press news dispatch||centrism||Wikipedia:Vital articles/Level/4
Nisa_(retailer)	business||retailers' cooperative||convenience shop symbol group||Scunthorpe||United Kingdom||retail||The Co-operative Group
Langston_Hughes	male||Joplin||Harlem Renaissance||jazz poetry||poet||novelist||playwright||essayist||writer||journalist||children's writer||biographer||opinion journalist||Lincoln University||Fu Foundation School of Engineering and Applied Science||Association for the Study of African American Life and History||Guggenheim Fellowship||Spingarn Medal||Anisfield-Wolf Book Awards||William E. Harmon Foundation award for distinguished achievement among Negroes||United States of America||human||Charles Henry Langston||prostate cancer||The Negro Speaks of Rivers||New York City||natural causes||Armenian Soviet Encyclopedia||Obalky knih.cz||African American Dramatists : An A-to-Z Guide||African American Authors, 1745-1945 (1st edition)||Hughes||African Americans||American Academy of Arts and Sciences||American Academy of Arts and Letters||PEN America||Beinecke Rare Book & Manuscript Library||Stuart A. Rose Manuscript, Archives, and Rare Book Library||University of Victoria Special Collections and University Archives||James||Mercer||Langston||Category:Langston Hughes||English||The Nelson-Atkins Museum of Art||English||WikiProject African diaspora||Wikipedia:Vital articles/Level/4||works protected by copyrights||James Nathaniel Hughes||Carrie Langston||creative and professional writing||prose||poetry||theatre||opinion journalism||Harlem Renaissance||civil and political rights
Terre_Haute,_Indiana	Category:Births in Terre Haute, Indiana||United States of America||city in the United States||county seat||Category:Terre Haute, Indiana||Vigo County||Category:Deaths in Terre Haute||Category:People from Terre Haute, Indiana||Vigo County||Brockhaus and Efron Encyclopedic Dictionary||The Nuttall Encyclopædia||Siege of Fort Harrison||Terre Haute metropolitan area
Marylands	Grade II* listed building||house||United Kingdom||Surrey||Ewhurst
Marciano	family name||Marciano||Latin script
Peretz_Naftali	male||Berlin||Germany||Israel||human||Tel Aviv||economist||politician||journalist||pedagogue||writer||university teacher||trade unionist||Minister of Agriculture and Rural Development||Minister without portfolio||Minister without portfolio||Knesset member||Social Democratic Party of Germany||Mapai||Fritz||Hebrew||German||Jerusalem||University of Haifa||Tel Aviv University||Naftali
Stormy_Daniels	female||United States of America||human||Baton Rouge||pornographic actor||model||film director||screenwriter||film producer||AVN Best New Starlet Award||AVN Hall of Fame||Penthouse Pet||FAME Award||FAME Award||Brendon Miller||Pat Myne||Stephanie||Stormy||Gregory||Clifford||Daniels||English||Scotlandville Magnet High School||English||blue||blond hair||Wicked Pictures||Sin City||Vivid Entertainment||Hustler Video||Digital Playground||Adam & Eve||Category:Stormy Daniels||Full Disclosure||bisexuality||Stormy Daniels–Donald Trump scandal||Republican Party||erotic dancing
Bryan,_Texas	Kazan||city in the United States||county seat||United States of America||Brazos County||Category:Bryan, Texas||Brazos County||Category:People from Bryan, Texas||William Joel Bryan||UTC−05:00||Houston and Texas Central Railway||Bryan||Bryan–College Station metropolitan area
Dunedin	Category:Deaths in Dunedin||Edinburgh||Shanghai||Portsmouth||Otaru||New Zealand||Dunedin City||city||big city||Climate emergency declarations in New Zealand||Category:Dunedin||Category:Births in Dunedin||Category:People from Dunedin||Otago Region||Brockhaus and Efron Encyclopedic Dictionary||The Nuttall Encyclopædia||Category:Maps of Dunedin||UTC+12:00||Creative Cities Network||Dunedin
Donald_Duck	Donald Duck universe||Hortense McDuck||male||anthropomorphic duck||comics character||animated character||television character||film character||video game character||Disney core universe character||Quackmore Duck||Category:Donald Duck||Scrooge McDuck||Huey Duck||Dewey Duck||Louie Duck||Donald||Walt Disney||Dick Lundy||Dick Huemer||Art Babbitt||Carl Barks||Al Taliaferro||Don Rosa||Fred Spencer||Fred Moore||Johnny Cannon||Clyde Geronimi||Les Clark||Milt Neil||Ollie Johnston||Bill Tytla||Ward Kimball||John Lounsbery||Eric Larson||Hal King||John Sibley||Don Patterson||Saludos Amigos||The Wise Little Hen||Mickey's Grand Opera||Orphan's Benefit||The Three Caballeros||Fun and Fancy Free||Mickey's Once Upon a Christmas||The Band Concert||Deep Duck Trouble Starring Donald Duck||Donald Duck and urban climbers||Writer Unknown||Mickey, Donald, Goofy: The Three Musketeers||Kingdom Hearts||Clarence Nash||Tony Anselmo||Daniel Ross||Della Duck||sailor||adventurer||infantryman||navy sailor||313||Dick Lundy||Walt Disney||Duck family||Clan McDuck||Donald Duckling||Duck Avenger||protagonist||supporting character||Daisy Duck||Donna Duck||Reginella||Duckburg||313||Bolivar||Tabby||The Wise Little Hen||Duck||Clarence Nash||Tony Anselmo||Daniel Ross||Don Cheadle||Russi Taylor||Andreas Nilsson||Donald Duck filmography||star on Hollywood Walk of Fame||Donald Duck||white||yellow||orange||quick-tempered||cap||bow tie||sailor suit||sailor suit||cap||bow tie||trunks||Sensational Six||World War II||United States Army||United States Navy||The Walt Disney Company||United States of America||Ansem
Shanghai	Portal:Shanghai||Yokohama||Osaka||Milan||Rotterdam||San Francisco||Zagreb||Hamhung||Manila||Karachi||Antwerp||Montreal||Piraeus||Pomeranian Voivodeship||Chicago||Hamburg||Casablanca||Marseille||São Paulo||Saint Petersburg||Queensland||Istanbul||Haifa||Busan||Ho Chi Minh City||Port Vila||Dunedin||Tashkent||Porto||Windhoek||Santiago de Cuba Province||Espoo||Rosario||Jalisco||Liverpool||Maputo||Chiang Mai||Dubai||KwaZulu-Natal||Guayaquil||Valparaíso||Barcelona||Oslo||Colombo||Bratislava Region||Central Denmark Region||Cork||East Java||Rhône-Alpes||Phnom Penh||Salzburg||Quebec||Vladivostok||South Jeolla||Nagasaki Prefecture||North Jeolla||Basel||Alexandria||Lille||Gdańsk||London||Hirakata||Neyagawa||Okahandja||Aden||Izumisano||Bangkok||Winston-Salem||Constanța||Yao||Yerevan||New York City||Osaka Prefecture||Budapest||Gothenburg Municipality||Nicosia Municipality||City of London||Prague||Minsk||Jiangsu||Zhejiang||Suzhou||direct-controlled municipality||national central city||big city||million city||port settlement||global city||megacity||metropolis||largest city||Economic and Technological Development Zones||Yang Xiong||Gong Zheng||Chen Jining||UTC+08:00||People's Republic of China||Republic of China||Wang Jingwei regime||Reformed Government of the Republic of China||Great Way Government||Republic of China||Jiangsu Province||Songjiang Fu||Huangpu District||Xuhui District||Changning District||Jing'an District||Putuo District||Hongkou||Yangpu District||Minhang District||Baoshan District||Jiading||Pudong||Jinshan District||Songjiang||Qingpu||Fengxian District||Chongming District||Category:Shanghai||People's Republic of China||Republic of China||Wang Jingwei regime||Reformed Government of the Republic of China||Great Way Government||Republic of China||Category:Births in Shanghai||Category:Deaths in Shanghai||Category:Films shot in Shanghai||Category:People from Shanghai||geography of Shanghai||Mount Dajin||Template:Shanghai||Shanghai Municipality, Republic of China||East China||direct-controlled municipality||Wikipedia:List of articles all languages should have||Wikipedia:Vital articles/Level/4||Suzhou Creek||Yangtze||Huangpu River||East China Sea||Dianshan Lake||Hongkou Football Stadium||Category:Burials in Shanghai||Wu Chinese||Shanghainese||Category:Maps of Shanghai||economy of Shanghai||Modu||Category:Views of Shanghai||demographics of Shanghai||Jewish Encyclopedia of Brockhaus and Efron||Brockhaus and Efron Encyclopedic Dictionary||Small Brockhaus and Efron Encyclopedic Dictionary||Encyclopædia Britannica 11th edition||Encyclopædia Britannica Ninth Edition||The Nuttall Encyclopædia||Shanghai People's Congress||Yangtze Delta||Magnolia denudata||Creative Cities Network||Yangtze River Delta Economic Zone||Huangpu District||Expo 2010 Shanghai China||Shanghai Municipal People's Government||Asia||mayor of Shanghai||Puxi||Xujiahui||Pudong||Xintiandi
